id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1168,Dogman,"Crime, Drama, Thriller",it,7.5,1,43,2018-05-17,2181,Matteo Garrone,"Marcello Fonte, Edoardo Pesce, Nunzia Schiano, Adamo Dionisi, Francesco Acquaroli",,5080147.0
1174,The Quiet Girl,Drama,ga,7.5,1,34,2022-05-12,400,Colm Bairéad,"Catherine Clinch, Carrie Crowley, Andrew Bennett, Michael Patric, Kate Nic Chonaonaigh",,
1180,Hard Boiled,"Action, Thriller, Crime",cn,7.5,2,6,1992-04-16,783,John Woo,"Chow Yun-fat, Tony Leung Chiu-wai, Anthony Wong Chau-Sang, Teresa Mo, Philip Chan",4500000.0,
1181,Hard Boiled,"Action, Thriller, Crime",cn,7.5,2,6,1992-04-16,783,John Woo,"Chow Yun-fat, Tony Leung Chiu-wai, Anthony Wong Chau-Sang, Teresa Mo, Philip Chan",4500000.0,
1182,Bringing Up Baby,"Comedy, Romance",en,7.5,1,42,1938-02-18,961,Howard Hawks,"Cary Grant, Katharine Hepburn, Charles Ruggles, Walter Catlett, Barry Fitzgerald",1073000.0,
1184,The Second Tragic Fantozzi,Comedy,it,7.5,1,50,1976-04-15,591,Luciano Salce,"Paolo Villaggio, Anna Mazzamauro, Gigi Reder, Liù Bosisio, Giuseppe Anatrelli",,
1188,L'Avventura,"Drama, Mystery",it,7.5,2,24,1960-09-14,674,Michelangelo Antonioni,"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar, Renzo Ricci",,
1189,Trollhunters: Rise of the Titans,"Animation, Fantasy, Family, Action, Adventure",en,7.5,1,46,2021-07-21,329,Johane Matte,"Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Alfred Molina",,
1194,Cold Eyes,"Crime, Action, Thriller",ko,7.5,1,59,2013-07-03,344,Kim Byung-seo,"Jung Woo-sung, Sul Kyung-gu, Han Hyo-joo, Jin Kyung, Lee Jun-ho",,37795598.0
1195,The Flu,"Action, Science Fiction, Thriller",ko,7.5,2,2,2013-08-14,1168,Kim Sung-soo,"Jang Hyuk, Soo Ae, Park Min-ha, Yoo Hai-jin, Ma Dong-seok",,19775853.0
1199,Custody,"Drama, Thriller",fr,7.5,1,33,2018-02-07,633,Xavier Legrand,"Léa Drucker, Denis Ménochet, Thomas Gioria, Mathilde Auneveux, Mathieu Saikaly",,81455.0
1201,Breathless,"Drama, Crime",fr,7.5,1,30,1960-03-16,1786,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet, Roger Hanin",,
