id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
8305,The Captive,"Drama, Thriller, Crime",en,5.8,1,52,2014-09-05,1082,Atom Egoyan,"Ryan Reynolds, Scott Speedman, Rosario Dawson, Mireille Enos, Kevin Durand",,1075178.0
8312,Blue Steel,Thriller,en,5.8,1,42,1990-03-16,391,Kathryn Bigelow,"Jamie Lee Curtis, Ron Silver, Clancy Brown, Elizabeth Peña, Louise Fletcher",,8217997.0
8318,The Blackcoat's Daughter,"Horror, Mystery",en,5.8,1,33,2017-03-31,651,Osgood Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar, Lauren Holly",,19980.0
8331,Starship Troopers: Invasion,"Animation, Action, Science Fiction",en,5.8,1,29,2012-08-28,383,Shinji Aramaki,"Luci Christian, David Anthony Matranga, Justin Doran, David Wald, Andrew Love",,193425.0
8336,The Funhouse,Horror,en,5.8,1,36,1981-03-13,388,Tobe Hooper,"Elizabeth Berridge, Cooper Huckabee, Kevin Conway, Largo Woodruff, Miles Chapin",,7886857.0
8343,Censor,"Horror, Mystery",en,5.8,1,24,2021-06-11,372,Prano Bailey-Bond,"Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin, Sophia La Porta",,314785.0
8346,10 Years,"Comedy, Drama",en,5.8,1,40,2012-09-14,534,Jamie Linden,"Channing Tatum, Jenna Dewan, Justin Long, Max Minghella, Oscar Isaac",,203373.0
8351,To the Wonder,"Drama, Romance",en,5.8,1,52,2013-02-22,481,Terrence Malick,"Ben Affleck, Olga Kurylenko, Rachel McAdams, Javier Bardem, Tatiana Chiline",,2801166.0
8352,Saludos Amigos,"Animation, Adventure, Music",en,5.8,0,42,1942-08-24,461,Wilfred Jackson,"Fred Shields, José Oliveira, Pinto Colvig, Walt Disney, Clarence Nash",,1135000.0
8358,The Parisian Bitch,Comedy,fr,5.8,1,20,2015-04-29,468,Noémie Saglio,"Camille Cottin, Antony Hickling, Lou Cottin, Cécile Boland, Stéphane Bern",,8540288.0
8368,The Doorman,"Action, Thriller",en,5.8,1,37,2020-10-01,412,Ryûhei Kitamura,"Ruby Rose, Jean Reno, Aksel Hennie, Rupert Evans, Julian Feder",,307873.0
8373,Beethoven,"Family, Comedy",en,5.8,1,27,1992-04-03,2048,Brian Levant,"Charles Grodin, Chris, Bonnie Hunt, Nicholle Tom, Christopher Castile",,147214049.0
8377,Sweet Virginia,"Drama, Thriller",en,5.8,1,34,2017-11-17,303,Jamie M. Dagg,"Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt, Odessa Young",,10456.0
8384,The Jack in the Box,Horror,en,5.8,1,27,2019-11-09,423,Lawrence Fowler,"Ethan Taylor, Robert Strange, Lucy-Jane Quinlan, Philip Ridout, Darrie Gardner",,1035734.0
8391,Hangman,"Mystery, Crime, Thriller",en,5.8,1,38,2017-12-22,579,Johnny Martin,"Al Pacino, Karl Urban, Brittany Snow, Sarah Shahi, Joe Anderson",,104503.0
8401,The Vigil,"Horror, Mystery",en,5.8,1,28,2020-07-01,386,Keith Thomas,"Dave Davis, Lynn Cohen, Menashe Lustig, Malky Goldman, Fred Melamed",,1868659.0
8421,Trespass Against Us,"Action, Crime, Drama",en,5.8,1,39,2016-10-14,322,Adam Smith,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Rory Kinnear, Sean Harris",,517197.0
8422,The Perfect Score,"Comedy, Crime",en,5.8,1,33,2004-01-30,460,Brian Robbins,"Chris Evans, Bryan Greenberg, Scarlett Johansson, Erika Christensen, Darius Miles",,10900000.0
8430,Are We Done Yet?,"Family, Comedy",en,5.8,1,32,2007-04-04,607,Steve Carr,"Ice Cube, Nia Long, John C. McGinley, Aleisha Allen, Philip Bolden",,58400000.0
8446,Clown,"Horror, Thriller",en,5.8,1,39,2014-11-13,1348,Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano, Chuck Shamata",,4381603.0
8447,MILF,"Comedy, Romance",fr,5.8,1,36,2018-05-02,544,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet",,1100000.0
8451,Black Sheep,"Horror, Comedy",en,5.8,1,26,2007-03-29,742,Jonathan King,"Nathan Meister, Peter Feeney, Danielle Mason, Tandi Wright, Min Windle",,5000000.0
8485,I Spit on Your Grave III: Vengeance Is Mine,"Horror, Thriller",en,5.8,1,31,2015-10-01,938,Richard Schenkman,"Sarah Butler, Jennifer Landon, Jeff Branson, Harley Jane Kozak, Karen Strassman",,144420.0
8489,Texas Killing Fields,"Drama, Thriller, Crime, Mystery",en,5.8,1,45,2011-10-14,471,Ami Canaan Mann,"Sam Worthington, Jeffrey Dean Morgan, Jessica Chastain, Chloë Grace Moretz, Jason Clarke",,957240.0
8524,The Manual of Love,"Romance, Comedy, Drama",it,5.7,1,56,2005-03-18,314,Giovanni Veronesi,"Carlo Verdone, Silvio Muccino, Luciana Littizzetto, Sergio Rubini, Margherita Buy",,8312176.0
8527,The Midnight Sky,"Science Fiction, Drama",en,5.7,1,58,2020-12-10,1810,George Clooney,"George Clooney, Felicity Jones, David Oyelowo, Caoilinn Springall, Kyle Chandler",,70018.0
8530,We Are What We Are,"Drama, Horror, Thriller",en,5.7,1,45,2013-09-27,544,Jim Mickle,"Bill Sage, Ambyr Childers, Julia Garner, Michael Parks, Wyatt Russell",,81381.0
8534,Bubble Boy,"Comedy, Adventure, Romance",en,5.7,1,24,2001-08-24,558,Blair Hayes,"Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton, Danny Trejo, John Carroll Lynch",,5007209.0
8551,Dragon Ball Z: Bio-Broly,"Animation, Action, Science Fiction",ja,5.7,0,50,1994-07-09,512,Yoshihiro Ueda,"Masako Nozawa, Takeshi Kusao, Daisuke Gori, Mayumi Tanaka, Miki Ito",,19500000.0
8552,Miss Congeniality 2: Armed and Fabulous,"Action, Comedy",en,5.7,1,55,2005-03-11,1813,John Pasquin,"Sandra Bullock, Regina King, Enrique Murciano, Ernie Hudson, William Shatner",,101393569.0
8557,Tales of Halloween,"Horror, Thriller",en,5.7,1,37,2015-10-16,486,Axelle Carolyn,"Keir Gilchrist, Pollyanna McIntosh, Sam Witwer, Booboo Stewart, Adrienne Barbeau",,416792.0
8604,My Cousin Rachel,"Drama, Romance",en,5.7,1,46,2017-06-08,574,Roger Michell,"Rachel Weisz, Sam Claflin, Holliday Grainger, Iain Glen, Pierfrancesco Favino",,9200168.0
8615,Madame Bovary,Drama,en,5.7,1,58,2015-06-04,396,Sophie Barthes,"Mia Wasikowska, Rhys Ifans, Ezra Miller, Logan Marshall-Green, Henry Lloyd-Hughes",,658532.0
8641,The Getaway,"Action, Crime, Mystery, Thriller",en,5.7,1,55,1994-02-11,329,Roger Donaldson,"Alec Baldwin, Kim Basinger, Michael Madsen, James Woods, David Morse",,30057974.0
8657,Tarzan,"Animation, Action, Adventure, Family",en,5.7,1,34,2013-10-17,588,Reinhard Klooss,"Kellan Lutz, Spencer Locke, Les Bubb, Joe Cappelletti, Brian Huskey",,44095996.0
8663,Knight of Cups,"Drama, Romance",en,5.7,1,58,2015-09-10,642,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy, Antonio Banderas",,566006.0
8669,The Crucifixion,"Horror, Mystery, Thriller",en,5.7,1,30,2017-04-27,480,Xavier Gens,"Sophie Cookson, Corneliu Ulici, Ada Lupu, Brittany Ashworth, Mathew Zajac",,6554322.0
8692,Addio fottuti musi verdi,"Comedy, Science Fiction",it,5.7,1,33,2017-11-09,387,Francesco Capaldo,"Ciro Priello, Fabio Balsamo, Simone Russo, Beatrice Arnera, Roberto Zibetti",,822764.0
8695,Z for Zachariah,"Drama, Romance, Science Fiction",en,5.7,1,37,2015-08-13,925,Craig Zobel,"Margot Robbie, Chiwetel Ejiofor, Chris Pine",,121461.0
8709,Beverly Hills Ninja,"Comedy, Action",en,5.7,1,28,1997-01-17,751,Dennis Dugan,"Chris Farley, Nicollette Sheridan, Robin Shou, Nathaniel Parker, Chris Rock",,31480022.0
8725,The Ringer,Comedy,en,5.7,1,34,2005-12-23,319,Barry W. Blaustein,"Johnny Knoxville, Brian Cox, Katherine Heigl, Luis Ávalos, Jed Rees",,40442437.0
